Using device: cuda
Class names: ['glioma', 'meningioma', 'notumor', 'pituitary']
Train samples: 5141, Val samples: 571, Test samples: 1311
Showing sample training batch...

================================================================================
Training model: SimpleCNN
================================================================================
Epoch 123/500 | train_loss: 0.3680 train_acc: 0.8599 | val_loss: 0.3042 val_acc: 0.8774 | time: 26.3s
Epoch 124/500 | train_loss: 0.3691 train_acc: 0.8646 | val_loss: 0.3102 val_acc: 0.8949 | time: 24.9s
Epoch 125/500 | train_loss: 0.3650 train_acc: 0.8670 | val_loss: 0.3045 val_acc: 0.8774 | time: 25.8s
Epoch 126/500 | train_loss: 0.3726 train_acc: 0.8633 | val_loss: 0.3195 val_acc: 0.8739 | time: 25.2s
Epoch 127/500 | train_loss: 0.3696 train_acc: 0.8638 | val_loss: 0.3174 val_acc: 0.8739 | time: 24.5s
Epoch 128/500 | train_loss: 0.3699 train_acc: 0.8654 | val_loss: 0.2986 val_acc: 0.8827 | time: 24.7s
Epoch 129/500 | train_loss: 0.3756 train_acc: 0.8611 | val_loss: 0.2999 val_acc: 0.8827 | time: 24.9s
Epoch 130/500 | train_loss: 0.3789 train_acc: 0.8553 | val_loss: 0.2959 val_acc: 0.8914 | time: 23.4s
Epoch 131/500 | train_loss: 0.3719 train_acc: 0.8644 | val_loss: 0.2998 val_acc: 0.8774 | time: 22.6s
Epoch 132/500 | train_loss: 0.3770 train_acc: 0.8638 | val_loss: 0.3076 val_acc: 0.8722 | time: 25.7s
Epoch 133/500 | train_loss: 0.3731 train_acc: 0.8601 | val_loss: 0.3087 val_acc: 0.8774 | time: 25.6s
Epoch 134/500 | train_loss: 0.3769 train_acc: 0.8640 | val_loss: 0.3137 val_acc: 0.8844 | time: 24.7s
Epoch 135/500 | train_loss: 0.3906 train_acc: 0.8570 | val_loss: 0.2920 val_acc: 0.8932 | time: 24.9s
Epoch 136/500 | train_loss: 0.3761 train_acc: 0.8633 | val_loss: 0.3060 val_acc: 0.8827 | time: 25.3s
Epoch 137/500 | train_loss: 0.3668 train_acc: 0.8681 | val_loss: 0.2835 val_acc: 0.8914 | time: 28.1s
Epoch 138/500 | train_loss: 0.3736 train_acc: 0.8621 | val_loss: 0.3159 val_acc: 0.8757 | time: 26.5s
Epoch 139/500 | train_loss: 0.3730 train_acc: 0.8673 | val_loss: 0.2870 val_acc: 0.8932 | time: 23.3s
Epoch 140/500 | train_loss: 0.3687 train_acc: 0.8642 | val_loss: 0.2946 val_acc: 0.8914 | time: 23.8s
Epoch 141/500 | train_loss: 0.3786 train_acc: 0.8619 | val_loss: 0.3087 val_acc: 0.8862 | time: 23.7s
Epoch 142/500 | train_loss: 0.3592 train_acc: 0.8654 | val_loss: 0.2983 val_acc: 0.8879 | time: 26.2s
Epoch 143/500 | train_loss: 0.3653 train_acc: 0.8666 | val_loss: 0.2951 val_acc: 0.8932 | time: 25.4s
Epoch 144/500 | train_loss: 0.3719 train_acc: 0.8644 | val_loss: 0.2974 val_acc: 0.8914 | time: 26.1s
Epoch 145/500 | train_loss: 0.3562 train_acc: 0.8687 | val_loss: 0.3072 val_acc: 0.8809 | time: 23.8s
Epoch 146/500 | train_loss: 0.3728 train_acc: 0.8619 | val_loss: 0.2931 val_acc: 0.8879 | time: 26.3s
Epoch 147/500 | train_loss: 0.3749 train_acc: 0.8629 | val_loss: 0.3058 val_acc: 0.8932 | time: 26.9s
Epoch 148/500 | train_loss: 0.3657 train_acc: 0.8642 | val_loss: 0.3157 val_acc: 0.8827 | time: 24.1s
Epoch 149/500 | train_loss: 0.3731 train_acc: 0.8613 | val_loss: 0.3019 val_acc: 0.8827 | time: 27.5s
Epoch 150/500 | train_loss: 0.3866 train_acc: 0.8568 | val_loss: 0.2988 val_acc: 0.8792 | time: 25.0s
Epoch 151/500 | train_loss: 0.3588 train_acc: 0.8646 | val_loss: 0.2916 val_acc: 0.8897 | time: 24.4s
Epoch 152/500 | train_loss: 0.3758 train_acc: 0.8599 | val_loss: 0.3019 val_acc: 0.8914 | time: 24.4s
Epoch 153/500 | train_loss: 0.3734 train_acc: 0.8615 | val_loss: 0.3029 val_acc: 0.8914 | time: 25.3s
Epoch 154/500 | train_loss: 0.3717 train_acc: 0.8611 | val_loss: 0.3018 val_acc: 0.8792 | time: 25.7s
Epoch 155/500 | train_loss: 0.3642 train_acc: 0.8689 | val_loss: 0.2969 val_acc: 0.8949 | time: 28.3s
Epoch 156/500 | train_loss: 0.3747 train_acc: 0.8605 | val_loss: 0.2976 val_acc: 0.8967 | time: 24.6s
Epoch 157/500 | train_loss: 0.3688 train_acc: 0.8619 | val_loss: 0.2998 val_acc: 0.8809 | time: 20.2s
Epoch 158/500 | train_loss: 0.3679 train_acc: 0.8640 | val_loss: 0.3045 val_acc: 0.8827 | time: 22.8s
Epoch 159/500 | train_loss: 0.3787 train_acc: 0.8631 | val_loss: 0.2859 val_acc: 0.8949 | time: 24.8s
Epoch 160/500 | train_loss: 0.3685 train_acc: 0.8619 | val_loss: 0.2957 val_acc: 0.8757 | time: 28.3s
Epoch 161/500 | train_loss: 0.3773 train_acc: 0.8590 | val_loss: 0.3065 val_acc: 0.8844 | time: 23.6s
Epoch 162/500 | train_loss: 0.3640 train_acc: 0.8685 | val_loss: 0.3093 val_acc: 0.8792 | time: 23.9s
Epoch 163/500 | train_loss: 0.3700 train_acc: 0.8594 | val_loss: 0.2972 val_acc: 0.8862 | time: 22.6s
Epoch 164/500 | train_loss: 0.3684 train_acc: 0.8656 | val_loss: 0.3109 val_acc: 0.8792 | time: 24.5s
Epoch 165/500 | train_loss: 0.3752 train_acc: 0.8631 | val_loss: 0.3086 val_acc: 0.8879 | time: 30.7s
Epoch 166/500 | train_loss: 0.3643 train_acc: 0.8627 | val_loss: 0.2975 val_acc: 0.8914 | time: 23.9s
Epoch 167/500 | train_loss: 0.3758 train_acc: 0.8578 | val_loss: 0.3017 val_acc: 0.8862 | time: 23.9s
Epoch 168/500 | train_loss: 0.3774 train_acc: 0.8611 | val_loss: 0.2959 val_acc: 0.8914 | time: 27.0s
Epoch 169/500 | train_loss: 0.3632 train_acc: 0.8673 | val_loss: 0.2988 val_acc: 0.8862 | time: 26.9s
Epoch 170/500 | train_loss: 0.3706 train_acc: 0.8644 | val_loss: 0.2941 val_acc: 0.8827 | time: 23.9s
Epoch 171/500 | train_loss: 0.3741 train_acc: 0.8611 | val_loss: 0.3098 val_acc: 0.8809 | time: 25.1s
Epoch 172/500 | train_loss: 0.3629 train_acc: 0.8710 | val_loss: 0.3107 val_acc: 0.8897 | time: 22.8s
Epoch 173/500 | train_loss: 0.3724 train_acc: 0.8656 | val_loss: 0.3076 val_acc: 0.8862 | time: 23.6s
Epoch 174/500 | train_loss: 0.3717 train_acc: 0.8621 | val_loss: 0.2983 val_acc: 0.8879 | time: 25.7s
Epoch 175/500 | train_loss: 0.3721 train_acc: 0.8574 | val_loss: 0.3025 val_acc: 0.8862 | time: 24.2s
Epoch 176/500 | train_loss: 0.3782 train_acc: 0.8590 | val_loss: 0.3164 val_acc: 0.8809 | time: 25.4s
Epoch 177/500 | train_loss: 0.3763 train_acc: 0.8572 | val_loss: 0.3044 val_acc: 0.8914 | time: 25.3s
Epoch 178/500 | train_loss: 0.3704 train_acc: 0.8652 | val_loss: 0.3097 val_acc: 0.8897 | time: 24.0s
Epoch 179/500 | train_loss: 0.3718 train_acc: 0.8619 | val_loss: 0.3069 val_acc: 0.8739 | time: 26.0s
Epoch 180/500 | train_loss: 0.3687 train_acc: 0.8642 | val_loss: 0.3162 val_acc: 0.8879 | time: 23.9s
Epoch 181/500 | train_loss: 0.3845 train_acc: 0.8590 | val_loss: 0.2894 val_acc: 0.8879 | time: 24.7s
Epoch 182/500 | train_loss: 0.3850 train_acc: 0.8599 | val_loss: 0.3155 val_acc: 0.8827 | time: 24.7s
Epoch 183/500 | train_loss: 0.3697 train_acc: 0.8621 | val_loss: 0.3097 val_acc: 0.8879 | time: 25.6s
